CTE,dCTE,curvature,dCurvature,yawRate,steerAngle
-0.0779888898430826,-0.00188404694951404,0.000359038770021122,-5.34434945532759e-06,0.0345,-0.023
-0.0794413281775702,-0.0014524383344876,0.000352625562686479,-6.41320733464309e-06,0.0345,-0.023
-0.0809511569917661,-0.00150982881419595,0.000347281234369225,-5.34432831725403e-06,0.0345,-0.023
-0.0830038500322315,-0.00205269304046542,0.000340868053089903,-6.41318127932188e-06,0.0345,-0.023
-0.0846235059351987,-0.00161965590296721,0.000335523747485214,-5.34430560468913e-06,0.0345,-0.023
-0.0858768590495156,-0.00125335311431685,0.000329110594350977,-6.41315313423666e-06,0.0345,-0.023
-0.0876017266526391,-0.00172486760312353,0.000322697457513647,-6.41313683733051e-06,0.0345,-0.023
-0.0889604235771312,-0.00135869692449204,0.000317353188479851,-5.34426903379525e-06,0.0345,-0.023
-0.0894608608251731,-0.000500437248041954,0.000310940080600593,-6.41310787925808e-06,0.0345,-0.023
-0.0913387967407784,-0.00187793591560532,0.00030370220247547,-7.23787812512334e-06,0.0345,-0.023
-0.0928455279204387,-0.00150673117966021,0.000270508296031664,-3.31939064438057e-05,0.0345,-0.023
-0.0934881698007812,-0.000642641880342507,0.00023769051589872,-3.28177801329444e-05,0.0345,-0.023
-0.0950762893313315,-0.00158811953055031,0.000198290013468698,-3.9400502430022e-05,0.0345,-0.023
-0.0957878846488259,-0.000711595317494387,0.000158853900728287,-3.94361127404103e-05,0.0345,-0.023
-0.0969442580707191,-0.0011563734218932,0.000125939075971897,-3.29148247563905e-05,0.0345,-0.023
-0.0977019771512702,-0.000757719080551181,8.62991937090454e-05,-3.96398822628515e-05,0.0345,-0.023
-0.0993825171140137,-0.00168053996274349,5.29082127459854e-05,-3.339098096306e-05,0.0345,-0.023
-0.100163001644985,-0.000780484530971765,6.7206993275364e-06,-4.6187513418449e-05,0.0345,-0.023
-0.100037730403939,0.000125271241046748,1.12370922267182e-05,4.51639289918176e-06,0.0345,-0.023
-0.100399286668674,-0.000361556264734803,5.53752910586434e-05,4.41381988319253e-05,0.0345,-0.023
-0.101170066378275,-0.000770779709601682,9.5344159966745e-05,3.99688689081015e-05,0.033,-0.022
-0.10192552788075,-0.000755461502474838,0.000127628596844237,3.22844368774925e-05,0.033,-0.022
-0.101752805751457,0.000172722129292965,0.000107847558838775,-1.97810380054621e-05,0.033,-0.022
