CTE,dCTE,curvature,HeadingError,steerAngle
-0.0568267597085423,0.0028355225118516,5.70331561434102e-05,0.00707475207390312,-0.024
-0.0540003834297454,0.00282637627879695,7.65771858352939e-05,0.00704516218623524,-0.024
-0.0511863865162622,0.00281399691348311,9.28337847091138e-05,0.0092959681255198,-0.023
-0.0474780241179406,0.00370836239832163,0.000112323399536205,0.00696917067887276,-0.023
-0.0446967531983564,0.00278127091958418,0.000131801426683704,0.00919772002767083,-0.023
-0.0410275423509571,0.00366921084739932,0.000148027571034383,0.0101646382317349,-0.022
-0.0369655165484704,0.00406202580248676,0.000167494486517884,0.00679638244934566,-0.021
-0.0342560740399871,0.00270944250848329,0.000183714254614339,0.0090146314357033,-0.02
-0.030666316721307,0.00358975731868007,0.000203175652227007,0.00893062492464075,-0.02
-0.0271093904842594,0.00355692623704759,0.000219392006739986,0.0088542243744843,-0.019
-0.0235873413769876,0.00352204910727182,0.000238850270909773,0.00977260783413925,-0.018
-0.0196875413518471,0.00389980002514048,0.000258228502722497,0.00864714294799945,-0.016
-0.0162453817486031,0.00344215960324404,0.00025671089556674,0.00855295894485869,-0.015
-0.0128431742608538,0.00340220748774922,0.000226698615272107,0.00946755219452938,-0.014
-0.00906270433594451,0.00378046992490934,0.000201243484973411,0.0106604109628348,-0.013
-0.00481949304325726,0.00424321129268725,0.000170685960173692,0.00931256150188015,-0.011
-0.00109843686947405,0.00372105617378321,0.000145206570497118,0.00823896480078745,-0.01
0.0021846389916494,0.00328307586112345,0.000114600127153284,0.0104704923008141,-0.008
0.00635911778156299,0.00417447878991359,8.39244051307634e-05,0.00915985215213866,-0.007
0.0100249029879656,0.00366578520640257,5.82288387087524e-05,0.00811726321199113,-0.006
0.0132663775321243,0.00324147454415877,2.67064010127528e-05,0.0113995512353919,-0.005
0.0178278931643168,0.00456151563219248,-3.21458033849758e-05,0.00809469388270584,-0.004
0.0210642681293017,0.00323637496498485,-2.53442807342022e-05,0.00911872625484822,-0.002
0.0247201296910913,0.00365586156178969,-5.17693906461479e-05,0.0104027842895141,-0.001
0.0288793204225072,0.00415919073141586,-7.71881948939001e-05,0.00814663464705034,-0.001
0.0321404560634397,0.00326113564093245,8.07734634602943e-06,0.00918769095429939,-0
0.035821373852664,0.00368091778922438,2.88326700784343e-05,0.0104515837040282,0
0.0399904078847645,0.0041690340321005,0.000109888971717589,0.0091476331291992,0.001
0.0436470175082072,0.00365660962344268,0.000172780981320451,0.00807616724828181,0.002
0.046860240581722,0.00321322307351482,0.000247584443744726,0.0112824610260034,0.002
